2014-04-13 05:42:22,5,Candy Smash,Other,iOS,South America,1
2014-04-14 06:50:09,6,Candy Smash,Opera,iOS,Europe,0
2014-04-07 04:39:27,4,Clash of Tribes,Safari,Android,North America,0
2014-04-25 07:14:35,7,Clash of Tribes,Internet Explorer,Android,Australia,0
2014-04-19 16:41:58,16,NBA Jam,Google Chrome,Unknown,North America,0
2014-04-09 11:36:08,11,Candy Smash,Opera,iOS,Africa,0
2014-04-19 02:47:48,2,NBA Jam,Google Chrome,Android,Europe,0
2014-04-07 14:10:13,14,Clash of Tribes,Other,Android,North America,0
2014-04-23 19:02:54,19,Candy Smash,Google Chrome,Android,North America,0
2014-04-09 12:59:20,12,NBA Jam,Android Browser,iOS,North America,0
2014-04-28 01:55:10,1,Candy Smash,Safari,Windows Phone,North America,1
2014-04-02 07:42:58,7,Candy Smash,Safari,iOS,North America,0
2014-04-10 02:50:53,2,NBA Jam,Other,Android,Europe,0
2014-04-15 17:03:07,17,Clash of Tribes,Google Chrome,iOS,Australia,1
2014-04-14 20:37:24,20,Clash of Tribes,Safari,Android,Europe,1
2014-04-24 11:34:37,11,Clash of Tribes,Opera,Android,Europe,0
2014-04-15 15:25:14,15,NBA Jam,Safari,Android,North America,1
2014-04-27 10:18:11,10,Candy Smash,Android Browser,iOS,Africa,0
2014-04-16 08:05:49,8,Candy Smash,Google Chrome,Android,North America,0
2014-04-03 23:15:00,23,Clash of Tribes,Safari,iOS,North America,1
2014-04-29 23:52:09,23,NBA Jam,Safari,iOS,Africa,1
2014-03-31 23:20:50,23,NBA Jam,Internet Explorer,Android,Europe,1
2014-04-02 16:44:00,16,NBA Jam,Safari,iOS,North America,1
2014-04-17 01:45:09,1,NBA Jam,Safari,Unknown,North America,0
2014-04-08 08:52:44,8,Candy Smash,Safari,iOS,North America,1
2014-04-17 13:56:13,13,Clash of Tribes,Google Chrome,iOS,Europe,1
2014-04-28 23:08:00,23,Clash of Tribes,Android Browser,Android,Australia,0
2014-04-26 20:19:03,20,Candy Smash,Other,iOS,North America,0
2014-04-12 19:16:27,19,Clash of Tribes,Google Chrome,iOS,Europe,1
2014-04-19 17:22:51,17,Candy Smash,Safari,iOS,Asia,0
2014-04-23 18:35:40,18,Candy Smash,Safari,Android,North America,0
2014-04-11 09:19:59,9,NBA Jam,Safari,Android,North America,0
2014-04-02 22:27:03,22,Clash of Tribes,Google Chrome,iOS,Australia,1
2014-04-09 04:47:52,4,NBA Jam,Google Chrome,iOS,Asia,0
2014-04-19 03:07:15,3,Candy Smash,Safari,Android,North America,1
2014-04-20 09:53:46,9,Candy Smash,Safari,Android,North America,0
2014-04-27 04:25:19,4,Clash of Tribes,Safari,Unknown,North America,0
2014-04-15 19:31:09,19,Candy Smash,Android Browser,Unknown,North America,1
2014-04-07 05:38:25,5,NBA Jam,Safari,Android,Asia,1
2014-04-02 11:50:33,11,Candy Smash,Safari,Android,Europe,0
2014-04-05 01:48:47,1,Clash of Tribes,Android Browser,iOS,Africa,1
2014-04-05 02:31:14,2,Clash of Tribes,Android Browser,iOS,Africa,0
2014-04-10 11:53:11,11,Candy Smash,Internet Explorer,iOS,North America,1
2014-04-19 01:25:51,1,Candy Smash,Safari,Android,Europe,1
2014-04-02 18:05:57,18,NBA Jam,Safari,iOS,North America,0
2014-04-16 15:00:47,15,Clash of Tribes,Safari,iOS,Asia,1
2014-04-22 09:55:46,9,Candy Smash,Google Chrome,Android,North America,1
2014-04-16 17:32:10,17,Clash of Tribes,Android Browser,iOS,Asia,1
2014-04-21 01:16:54,1,NBA Jam,Safari,iOS,North America,1
2014-04-01 20:35:53,20,Candy Smash,Opera,iOS,Europe,1
2014-04-13 17:50:59,17,Candy Smash,Google Chrome,Unknown,Asia,0
2014-04-16 07:09:44,7,Clash of Tribes,Google Chrome,iOS,South America,0
2014-04-27 07:06:26,7,NBA Jam,Android Browser,Unknown,North America,0
2014-04-19 19:42:02,19,Clash of Tribes,Safari,Android,North America,1
